Unidad de Negocio,Código TS,Código Usuario,Sentido,FREC_PUNTA,FREC_VALLE,INDICE_PUNTA_VALLE,CAP_POR_BUS_PUNTA,TIPO_ZONA
2,284,G24,Ida,6.791666666666666,4.644444444444444,1.4623205741626795,101.0,Central
19,1972,272,Ida,7.083333333333333,4.844444444444445,1.462155963302752,90.0,Periférica
4,465,G05,Ret,8.333333333333334,5.711111111111111,1.4591439688715955,99.0,Periférica
5,506,506,Ida,8.708333333333332,5.977777777777777,1.4567843866171004,141.0,Periférica
18,1816,216,Ida,10.625,7.31111111111111,1.4532674772036476,150.00000000000003,Periférica
4,464,G04,Ret,12.291666666666666,8.511111111111111,1.4441906005221932,97.90476190476191,Periférica
4,473,G13,Ret,12.083333333333332,8.377777777777778,1.442307692307692,99.0,Periférica
3,317,I25,Ida,7.333333333333333,5.0888888888888895,1.4410480349344976,90.0,Semi-Central
2,232,G02,Ret,6.083333333333334,4.222222222222222,1.4407894736842106,91.99999999999999,Central
11,1117,C17,Ida,2.875,2.0,1.4375,60.00000000000001,Periférica
11,1117,C17,Ret,2.875,2.0,1.4375,60.00000000000001,Periférica
13,1328,428,Ret,8.958333333333332,6.266666666666667,1.4295212765957446,90.0,Periférica
16,1612,E12,Ida,6.958333333333333,4.888888888888889,1.4232954545454544,90.0,Periférica
19,1910,210,Ret,11.541666666666668,8.111111111111112,1.422945205479452,150.0,Periférica
3,303,303,Ret,8.708333333333332,6.133333333333333,1.419836956521739,98.0,Semi-Central
4,473,G13,Ida,11.25,7.933333333333334,1.4180672268907561,99.0,Periférica
9,953,F33,Ret,7.166666666666667,5.066666666666666,1.4144736842105265,90.0,Periférica
18,1823,G23,Ida,6.833333333333334,4.844444444444445,1.4105504587155964,90.0,Periférica
18,1823,G23,Ret,6.833333333333334,4.844444444444445,1.4105504587155964,90.0,Periférica
14,1411,401,Ida,7.624999999999999,5.422222222222222,1.40625,150.00000000000003,Periférica
19,1905,205,Ida,6.875,4.955555555555556,1.3873318385650224,150.0,Periférica
11,1102c,C02c,Ida,10.958333333333332,7.911111111111111,1.3851825842696628,90.0,Periférica
18,1841c,301c,Ida,8.291666666666668,6.0,1.3819444444444446,90.0,Periférica
15,1534,E04,Ida,5.708333333333333,4.133333333333334,1.381048387096774,90.0,Periférica
5,521,J01,Ret,8.958333333333334,6.48888888888889,1.3805650684931505,81.0,Periférica
5,523,J03,Ida,5.5,4.0,1.375,81.0,Periférica
14,1421,421,Ida,7.291666666666667,5.311111111111111,1.372907949790795,150.0,Periférica
18,1808,208,Ida,11.125,8.111111111111112,1.3715753424657533,150.0,Periférica
16,1633,E03,Ida,6.958333333333333,5.0888888888888895,1.3673580786026198,90.0,Periférica
5,556,406,Ret,9.625,7.044444444444444,1.3663249211356467,141.0,Periférica
8,805,105,Ida,8.333333333333332,6.111111111111111,1.3636363636363635,150.0,Periférica
8,805,105,Ret,8.333333333333332,6.111111111111111,1.3636363636363635,150.0,Periférica
3,319,119,Ida,8.166666666666668,6.0,1.3611111111111114,98.0,Semi-Central
19,1905,205,Ret,6.875,5.066666666666666,1.3569078947368423,150.0,Periférica
5,501,501,Ret,10.666666666666666,7.866666666666667,1.3559322033898304,81.0,Periférica
5,558,118,Ida,6.958333333333334,5.177777777777777,1.343884120171674,91.99999999999999,Periférica
5,558,118,Ret,6.958333333333334,5.177777777777777,1.343884120171674,91.99999999999999,Periférica
18,1816,216,Ret,10.291666666666666,7.666666666666667,1.342391304347826,150.0,Periférica
4,485,I35,Ret,10.958333333333334,8.177777777777777,1.340013586956522,76.0,Periférica
5,506,506,Ret,8.333333333333332,6.222222222222221,1.3392857142857142,141.0,Periférica
5,508,508,Ret,9.0,6.733333333333333,1.3366336633663367,140.78947368421052,Periférica
5,516,516,Ret,11.875,8.88888888888889,1.3359375,81.0,Periférica
8,818e,B18e,Ret,5.041666666666667,3.7777777777777772,1.3345588235294121,90.0,Periférica
